Shame,"6,8",359325
Crash (Colisión),"7,6",707094
Ouija: El origen del mal,"5,1",466142
El exorcismo de Emily Rose,"5,9",693305
Hard Candy,"6,8",752731
Déjame salir,"6,7",642856
1898. Los últimos de Filipinas,"6,1",253954
Mudbound,"6,7",924281
Slam Dunk (Serie de TV),"7,0",711855
La música del terremoto,"5,2",630813
El cazador de sueños,"4,4",856351
Shameless (Serie de TV),"7,8",906532
Juego de tronos (Serie de TV),"8,6",874956
Django desencadenado,"7,9",929558
Interstellar,"7,8",704416
Klaus,"7,6",148968
1917,"7,9",145446
El irlandés,"7,4",325196
Parásitos,"8,0",520465
Mindhunter (Serie de TV),"7,8",678702
El hoyo,"6,4",427424
Los dos papas,"6,8",691766
Dark (Serie de TV),"7,6",103430
Harry Potter y las reliquias de la muerte - Parte 1,"6,6",799532
Harry Potter y las reliquias de la muerte - Parte 2,"7,1",392189
Harry Potter y el cáliz de fuego,"6,6",372126
Harry Potter y la cámara secreta,"6,5",952728
Harry Potter y el prisionero de Azkaban,"6,9",832057
Harry Potter y la piedra filosofal,"6,8",423821
La perfección,"5,6",716699
Oldboy,"7,9",262430
Breaking Bad (Serie de TV),"8,8",489970
El Camino: Una película de Breaking Bad,"6,3",424407
La gran belleza,"7,4",202506
En la cuerda floja,"7,0",932791
Joker,"8,1",520214
Malditos bastardos,"7,8",746997
Los odiosos ocho,"7,3",647932
El autor,"6,4",570753
El indomable Will Hunting,"7,5",503907
La casa de papel (Serie de TV),"7,1",879405
Élite (Serie de TV),"5,8",204759
Best of Enemies,"7,0",856547
El instante más oscuro,"6,7",821742
Molly's Game,"6,8",993257
The Newsroom (Serie de TV),"7,5",243445
"Crazy, Stupid, Love","6,4",748557
Que Dios nos perdone,"7,1",332264
La casa de Jack,"6,5",716650
Stockholm,"6,5",366118
Manderlay,"7,3",417020
Dogville,"7,5",573847
El club de la lucha,"8,1",536945
El Reino,"7,3",140455
